latitude,longitude
55.71251310109571, 37.50793541456577
55.71850927367426, 37.51890548176834
55.720013459260564, 37.51865315246096
55.74387628666353, 37.596627210943474
55.74941022054675, 37.58564258036105
55.7502982209378, 37.57635663890734
55.75385010787131, 37.59605285949132
55.75639486096906, 37.58943564570599
55.75603588908771, 37.5791782425262
55.75796594379254, 37.589860559339684
55.75468643383173, 37.602272133562884
55.766085017324656, 37.59768834936799
55.7646845507801, 37.58841375126133
55.77014580575156, 37.58837771142883
55.77730284382029, 37.638328322090274
55.765029319222535, 37.641129198897666
55.78337966036637, 37.640042348716065
55.78264805062559, 37.63463208770502
55.73583143477367, 37.59909522439982
55.73398502295097, 37.62355185367608
55.75277514231777, 37.6423684120527
55.75297890620623, 37.64995532959661
55.765053914992684, 37.66750404048243
55.76399825301906, 37.6463807982224
55.76505700355858, 37.64079683304472